CFW_ID,OPLAN_ID,ORG_GROUP_ID,START_CDAY,END_CDAY,ATTRIBUTE_NAME,ATTRIBUTE_VALUE,BLANK,SORT_SEQ
3ID-CFW,093FF,3-BDE-2ID-HHC,0,6,LOCATION,FGQS, ,1
3ID-CFW,093FF,3-BDE-2ID-HHC,6,21,LOCATION,LOC-3ID-IBCT, ,2
3ID-CFW,093FF,3-BDE-2ID-HHC,21,46,LOCATION,LOC-3ID-IBCT, ,3
3ID-CFW,093FF,3-BDE-2ID-HHC,46,106,LOCATION,LOC-3ID-IBCT, ,4
3ID-CFW,093FF,3-BDE-2ID-HHC,106,135,LOCATION,FGQS, ,5
3ID-CFW,093FF,334-SIGCO,0,7,LOCATION,FGQS, ,6
3ID-CFW,093FF,334-SIGCO,7,21,LOCATION,LOC-3ID-IBCT, ,7
3ID-CFW,093FF,334-SIGCO,21,46,LOCATION,LOC-3ID-IBCT, ,8
3ID-CFW,093FF,334-SIGCO,46,106,LOCATION,LOC-3ID-IBCT, ,9
3ID-CFW,093FF,334-SIGCO,106,135,LOCATION,FGQS, ,10
3ID-CFW,093FF,209-MICO,0,7,LOCATION,FGQS, ,11
3ID-CFW,093FF,209-MICO,7,21,LOCATION,LOC-3ID-IBCT, ,12
3ID-CFW,093FF,209-MICO,21,46,LOCATION,LOC-3ID-IBCT, ,13
3ID-CFW,093FF,209-MICO,46,106,LOCATION,LOC-3ID-IBCT, ,14
3ID-CFW,093FF,209-MICO,106,135,LOCATION,FGQS, ,15
3ID-CFW,093FF,1-23-INFBN,0,6,LOCATION,FGQS, ,16
3ID-CFW,093FF,1-23-INFBN,6,21,LOCATION,LOC-3ID-IBCT, ,17
3ID-CFW,093FF,1-23-INFBN,21,46,LOCATION,LOC-3ID-IBCT, ,18
3ID-CFW,093FF,1-23-INFBN,46,106,LOCATION,LOC-3ID-IBCT, ,19
3ID-CFW,093FF,1-23-INFBN,106,135,LOCATION,FGQS, ,20
3ID-CFW,093FF,5-20-INFBN,0,6,LOCATION,FGQS, ,21
3ID-CFW,093FF,5-20-INFBN,6,21,LOCATION,LOC-3ID-IBCT, ,22
3ID-CFW,093FF,5-20-INFBN,21,46,LOCATION,LOC-3ID-IBCT, ,23
3ID-CFW,093FF,5-20-INFBN,46,106,LOCATION,LOC-3ID-IBCT, ,24
3ID-CFW,093FF,5-20-INFBN,106,135,LOCATION,FGQS, ,25
3ID-CFW,093FF,2-3-INFBN,0,8,LOCATION,FGQS, ,26
3ID-CFW,093FF,2-3-INFBN,8,21,LOCATION,LOC-3ID-IBCT, ,27
3ID-CFW,093FF,2-3-INFBN,21,46,LOCATION,LOC-3ID-IBCT, ,28
3ID-CFW,093FF,2-3-INFBN,46,106,LOCATION,LOC-3ID-IBCT, ,29
3ID-CFW,093FF,2-3-INFBN,106,135,LOCATION,FGQS, ,30
3ID-CFW,093FF,1-14-CAVSQDN,0,9,LOCATION,FGQS, ,31
3ID-CFW,093FF,1-14-CAVSQDN,9,21,LOCATION,LOC-3ID-IBCT, ,32
3ID-CFW,093FF,1-14-CAVSQDN,21,46,LOCATION,LOC-3ID-IBCT, ,33
3ID-CFW,093FF,1-14-CAVSQDN,46,106,LOCATION,LOC-3ID-IBCT, ,34
3ID-CFW,093FF,1-14-CAVSQDN,106,135,LOCATION,FGQS, ,35
3ID-CFW,093FF,52-INF-CCO,0,6,LOCATION,FGQS, ,36
3ID-CFW,093FF,52-INF-CCO,6,21,LOCATION,LOC-3ID-IBCT, ,37
3ID-CFW,093FF,52-INF-CCO,21,46,LOCATION,LOC-3ID-IBCT, ,38
3ID-CFW,093FF,52-INF-CCO,46,106,LOCATION,LOC-3ID-IBCT, ,39
3ID-CFW,093FF,52-INF-CCO,106,135,LOCATION,FGQS, ,40
3ID-CFW,093FF,1-37-FABN,0,7,LOCATION,FGQS, ,41
3ID-CFW,093FF,1-37-FABN,7,21,LOCATION,LOC-3ID-IBCT, ,42
3ID-CFW,093FF,1-37-FABN,21,46,LOCATION,LOC-3ID-IBCT, ,43
3ID-CFW,093FF,1-37-FABN,46,106,LOCATION,LOC-3ID-IBCT, ,44
3ID-CFW,093FF,1-37-FABN,106,135,LOCATION,FGQS, ,45
3ID-CFW,093FF,18-ENGCO,0,10,LOCATION,FGQS, ,46
3ID-CFW,093FF,18-ENGCO,10,21,LOCATION,LOC-3ID-IBCT, ,47
3ID-CFW,093FF,18-ENGCO,21,46,LOCATION,LOC-3ID-IBCT, ,48
3ID-CFW,093FF,18-ENGCO,46,106,LOCATION,LOC-3ID-IBCT, ,49
3ID-CFW,093FF,18-ENGCO,106,135,LOCATION,FGQS, ,50
3ID-CFW,093FF,296-SPTBN,0,10,LOCATION,FGQS, ,51
3ID-CFW,093FF,296-SPTBN,10,21,LOCATION,LOC-3ID-IBCT, ,52
3ID-CFW,093FF,296-SPTBN,21,46,LOCATION,LOC-3ID-IBCT, ,53
3ID-CFW,093FF,296-SPTBN,46,106,LOCATION,LOC-3ID-IBCT, ,54
3ID-CFW,093FF,296-SPTBN,106,135,LOCATION,FGQS, ,55
3ID-CFW,093FF,126-MEDTM-FSURG,0,6,LOCATION,FGQS, ,56
3ID-CFW,093FF,126-MEDTM-FSURG,6,21,LOCATION,LOC-3ID-IBCT, ,57
3ID-CFW,093FF,126-MEDTM-FSURG,21,46,LOCATION,LOC-3ID-IBCT, ,58
3ID-CFW,093FF,126-MEDTM-FSURG,46,106,LOCATION,LOC-3ID-IBCT, ,59
3ID-CFW,093FF,126-MEDTM-FSURG,106,135,LOCATION,FGQS, ,60
3ID-CFW,093FF,3ID-HHC,0,16,LOCATION,FGQS, ,61
3ID-CFW,093FF,3ID-HHC,16,21,LOCATION,FGQS, ,62
3ID-CFW,093FF,3ID-HHC,21,36,LOCATION,FGQS, ,63
3ID-CFW,093FF,3ID-HHC,36,46,LOCATION,FGQS, ,64
3ID-CFW,093FF,3ID-HHC,46,181,LOCATION,FGQS, ,65
3ID-CFW,093FF,3ID-HHC,181,225,LOCATION,FGQS, ,66
3ID-CFW,093FF,3-MPCO,0,16,LOCATION,FGQS, ,67
3ID-CFW,093FF,3-MPCO,16,21,LOCATION,FGQS, ,68
3ID-CFW,093FF,3-MPCO,21,36,LOCATION,FGQS, ,69
3ID-CFW,093FF,3-MPCO,36,46,LOCATION,FGQS, ,70
3ID-CFW,093FF,3-MPCO,46,181,LOCATION,FGQS, ,71
3ID-CFW,093FF,3-MPCO,181,225,LOCATION,FGQS, ,72
3ID-CFW,093FF,3-DISCOM-HHC,0,16,LOCATION,FGQS, ,73
3ID-CFW,093FF,3-DISCOM-HHC,16,36,LOCATION,FGQS, ,74
3ID-CFW,093FF,3-DISCOM-HHC,36,46,LOCATION,FGQS, ,75
3ID-CFW,093FF,3-DISCOM-HHC,46,181,LOCATION,FGQS, ,76
3ID-CFW,093FF,3-DISCOM-HHC,181,225,LOCATION,FGQS, ,77
3ID-CFW,093FF,703-MSB,0,16,LOCATION,FGQS, ,78
3ID-CFW,093FF,703-MSB,16,36,LOCATION,FGQS, ,79
3ID-CFW,093FF,703-MSB,36,46,LOCATION,FGQS, ,80
3ID-CFW,093FF,703-MSB,46,181,LOCATION,FGQS, ,81
3ID-CFW,093FF,703-MSB,181,225,LOCATION,FGQS, ,82
3ID-CFW,093FF,3-AVNBDE-HHC,0,31,LOCATION,FGQS, ,83
3ID-CFW,093FF,3-AVNBDE-HHC,31,36,LOCATION,FGQS, ,84
3ID-CFW,093FF,3-AVNBDE-HHC,36,46,LOCATION,FGQS, ,85
3ID-CFW,093FF,3-AVNBDE-HHC,46,181,LOCATION,FGQS, ,86
3ID-CFW,093FF,3-AVNBDE-HHC,181,225,LOCATION,FGQS, ,87
3ID-CFW,093FF,1-3-AVNBN,0,31,LOCATION,FGQS, ,88
3ID-CFW,093FF,1-3-AVNBN,31,36,LOCATION,FGQS, ,89
3ID-CFW,093FF,1-3-AVNBN,36,46,LOCATION,FGQS, ,90
3ID-CFW,093FF,1-3-AVNBN,46,181,LOCATION,FGQS, ,91
3ID-CFW,093FF,1-3-AVNBN,181,225,LOCATION,FGQS, ,92
3ID-CFW,093FF,2-3-AVNBN,0,31,LOCATION,FGQS, ,93
3ID-CFW,093FF,2-3-AVNBN,31,36,LOCATION,FGQS, ,94
3ID-CFW,093FF,2-3-AVNBN,36,46,LOCATION,FGQS, ,95
3ID-CFW,093FF,2-3-AVNBN,46,181,LOCATION,FGQS, ,96
3ID-CFW,093FF,2-3-AVNBN,181,225,LOCATION,FGQS, ,97
3ID-CFW,093FF,603-DASB,0,31,LOCATION,FGQS, ,98
3ID-CFW,093FF,603-DASB,31,36,LOCATION,FGQS, ,99
3ID-CFW,093FF,603-DASB,36,46,LOCATION,FGQS, ,100
3ID-CFW,093FF,603-DASB,46,181,LOCATION,FGQS, ,101
3ID-CFW,093FF,603-DASB,181,225,LOCATION,FGQS, ,102
3ID-CFW,093FF,DIVARTY-3ID-HHB,0,16,LOCATION,FGQS, ,103
3ID-CFW,093FF,DIVARTY-3ID-HHB,16,21,LOCATION,FGQS, ,104
3ID-CFW,093FF,DIVARTY-3ID-HHB,21,36,LOCATION,FGQS, ,105
3ID-CFW,093FF,DIVARTY-3ID-HHB,36,46,LOCATION,FGQS, ,106
3ID-CFW,093FF,DIVARTY-3ID-HHB,46,181,LOCATION,FGQS, ,107
3ID-CFW,093FF,DIVARTY-3ID-HHB,181,225,LOCATION,FGQS, ,108
3ID-CFW,093FF,39-FABTRY,0,16,LOCATION,FGQS, ,109
3ID-CFW,093FF,39-FABTRY,16,21,LOCATION,FGQS, ,110
3ID-CFW,093FF,39-FABTRY,21,36,LOCATION,FGQS, ,111
3ID-CFW,093FF,39-FABTRY,36,46,LOCATION,FGQS, ,112
3ID-CFW,093FF,39-FABTRY,46,181,LOCATION,FGQS, ,113
3ID-CFW,093FF,39-FABTRY,181,225,LOCATION,FGQS, ,114
3ID-CFW,093FF,12-FABTRY,0,16,LOCATION,FGQS, ,115
3ID-CFW,093FF,12-FABTRY,16,21,LOCATION,FGQS, ,116
3ID-CFW,093FF,12-FABTRY,21,36,LOCATION,FGQS, ,117
3ID-CFW,093FF,12-FABTRY,36,46,LOCATION,FGQS, ,118
3ID-CFW,093FF,12-FABTRY,46,181,LOCATION,FGQS, ,119
3ID-CFW,093FF,12-FABTRY,181,225,LOCATION,FGQS, ,120
3ID-CFW,093FF,1-3-ADABN,0,16,LOCATION,FGQS, ,121
3ID-CFW,093FF,1-3-ADABN,16,21,LOCATION,FGQS, ,122
3ID-CFW,093FF,1-3-ADABN,21,36,LOCATION,FGQS, ,123
