ORG_GROUP_ID,ACTIVITY_TYPE,OPTEMPO,START_CDAY,END_CDAY,BLANK
16-CSG-OG,Deployment,Low,0,45, 
16-CSG-OG,Employment-CSS,Medium,45,75, 
16-CSG-OG,Employment-CSS,High,75,100, 
16-CSG-OG,Stand-Down,Low,100,165, 
1-AD,Deployment,Low,0,10, 
1-AD,Employment-Defensive,Medium,10,75, 
1-AD,Employment-Offensive,High,75,100, 
1-AD,Stand-Down,Low,100,165, 
1-AD-DIV-OG,Deployment,Low,0,10, 
1-AD-DIV-OG,Employment-Defensive,Medium,10,75, 
1-AD-DIV-OG,Employment-Offensive,High,75,100, 
1-AD-DIV-OG,Stand-Down,Low,100,165, 
1-BDE-1-AD-OG,Deployment,Low,0,10, 
1-BDE-1-AD-OG,Employment-Defensive,Medium,10,75, 
1-BDE-1-AD-OG,Employment-Offensive,High,75,100, 
1-BDE-1-AD-OG,Stand-Down,Low,100,165, 
21-TSC-OG,Deployment,Low,0,75, 
21-TSC-OG,Employment-CSS,High,75,100, 
21-TSC-OG,Stand-Down,Low,100,165, 
29-SPTGP-OG,Deployment,Low,0,75, 
29-SPTGP-OG,Employment-CSS,High,75,100, 
29-SPTGP-OG,Stand-Down,Low,100,165, 
2-BDE-1-AD-OG,Deployment,Low,0,10, 
2-BDE-1-AD-OG,Employment-Defensive,Medium,10,75, 
2-BDE-1-AD-OG,Employment-Offensive,High,75,100, 
2-BDE-1-AD-OG,Stand-Down,Low,100,165, 
37-TRANSGP-OG,Deployment,Low,0,75, 
37-TRANSGP-OG,Employment-CSS,High,75,100, 
37-TRANSGP-OG,Stand-Down,Low,100,165, 
3-BDE-1-AD-OG,Deployment,Low,0,14, 
3-BDE-1-AD-OG,Employment-Defensive,Medium,14,75, 
3-BDE-1-AD-OG,Employment-Offensive,High,75,100, 
3-BDE-1-AD-OG,Stand-Down,Low,100,165, 
3-SUPCOM-OG,Deployment,Low,0,45, 
3-SUPCOM-OG,Employment-CSS,Medium,45,75, 
3-SUPCOM-OG,Employment-CSS,High,75,100, 
3-SUPCOM-OG,Stand-Down,Low,100,165, 
5-CORPS,Deployment,Low,0,10, 
5-CORPS,Employment-Defensive,Medium,10,75, 
5-CORPS,Employment-Offensive,High,75,100, 
5-CORPS,Stand-Down,Low,100,165, 
5-CORPS-ARTY-OG,Deployment,Low,0,60, 
5-CORPS-ARTY-OG,Employment-Defensive,Medium,60,75, 
5-CORPS-ARTY-OG,Employment-Offensive,High,75,100, 
5-CORPS-ARTY-OG,Stand-Down,Low,100,165, 
5-CORPS-REAR-OG,Deployment,Low,0,30, 
5-CORPS-REAR-OG,Employment-Defensive,Medium,30,75, 
5-CORPS-REAR-OG,Employment-Offensive,High,75,100, 
5-CORPS-REAR-OG,Stand-Down,Low,100,165, 
7-CSG-OG,Deployment,Low,0,45, 
7-CSG-OG,Employment-CSS,Medium,45,75, 
7-CSG-OG,Employment-CSS,High,75,100, 
7-CSG-OG,Stand-Down,Low,100,165, 
AVNBDE-1-AD-OG,Deployment,Low,0,10, 
AVNBDE-1-AD-OG,Employment-Defensive,Medium,10,75, 
AVNBDE-1-AD-OG,Employment-Offensive,High,75,100, 
AVNBDE-1-AD-OG,Stand-Down,Low,100,165, 
DISCOM-1-AD-OG,Deployment,Low,0,10, 
DISCOM-1-AD-OG,Employment-CSS,Medium,10,75, 
DISCOM-1-AD-OG,Employment-CSS,High,75,100, 
DISCOM-1-AD-OG,Stand-Down,Low,100,165, 
DIVARTY-1-AD-OG,Deployment,Low,0,10, 
DIVARTY-1-AD-OG,Employment-Defensive,Medium,10,75, 
DIVARTY-1-AD-OG,Employment-Offensive,High,75,100, 
DIVARTY-1-AD-OG,Stand-Down,Low,100,165, 
