ASSEMBLY_ID,ROLE,SUPPORTING_COMPONENT_ID,SUPPORTED_COMPONENT_ID,START_DATE,END_DATE,BLANK
3ID-135-CMT,Subordinate,3ID-135-CMT|1-10-FABN,3ID-135-CMT|3-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-14-CAVSQDN,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-15-INFBN,3ID-135-CMT|3-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-23-INFBN,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-3-ADABN,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-3-AVNBN,3ID-135-CMT|3-AVNBDE-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-30-INFBN,3ID-135-CMT|3-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-37-FABN,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-41-FABN,3ID-135-CMT|2-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-64-ARBN,3ID-135-CMT|1-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-9-FABN,3ID-135-CMT|1-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|1-BDE-3ID-HHC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|10-ENGBN,3ID-135-CMT|2-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|10-TCBN-HHC,3ID-135-CMT|24-SPTGP-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|103-MIBN,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|11-ENGBN,3ID-135-CMT|1-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|110-QMCO-POLSPLY,3ID-135-CMT|24-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|119-TCCO-CGO,3ID-135-CMT|10-TCBN-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|12-FABTRY,3ID-135-CMT|DIVARTY-3ID-HHB,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|123-SIGBN,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|126-MEDTM-FSURG,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|147-MEDLOGBN,3ID-135-CMT|21-MED-CSHOSP,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|157-QMCO-FSVC,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|18-ENGCO,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|18-QMPLT,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|180-TCBN-HHD,3ID-135-CMT|24-SPTGP-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|186-WTRPURDET,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|2-3-AVNBN,3ID-135-CMT|3-AVNBDE-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|2-3-INFBN,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|2-69-ARBN,3ID-135-CMT|3-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|2-7-INFBN,3ID-135-CMT|2-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|2-BDE-3ID-HHC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|202-WTRPURDET,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|203-FSB,3ID-135-CMT|3-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|209-MICO,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|21-MED-CSHOSP,3ID-135-CMT|24-SPTGP-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|226-QMCO-SPLY,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|24-CSB-HHD,3ID-135-CMT|24-SPTGP-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|24-ODCO,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|24-SPTGP-HHC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|259-QMCO-FSVC,3ID-135-CMT|24-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|26-FSB,3ID-135-CMT|1-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|296-SPTBN,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-15-INFBN,3ID-135-CMT|1-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-69-ARBN,3ID-135-CMT|2-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-7-CAVSQDN,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-7-INFBN,3ID-135-CMT|1-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-AVNBDE-HHC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-BDE-2ID-HHC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-BDE-3ID-HHC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-DISCOM-HHC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-FSB,3ID-135-CMT|2-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3-MPCO,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|317-ENGBN,3ID-135-CMT|3-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|324-SCBN-TRITAC,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|334-SIGCO,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|343-QMCO-SPLY,3ID-135-CMT|24-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|36-MEDEVACBN-GAMBCO,3ID-135-CMT|21-MED-CSHOSP,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|39-FABTRY,3ID-135-CMT|DIVARTY-3ID-HHB,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|396-TCCO-PLS,3ID-135-CMT|10-TCBN-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|3ID-HHC,3ID-135-CMT|JTF-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|4-64-ARBN,3ID-135-CMT|2-BDE-3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|406-TCDET-TPT,3ID-135-CMT|180-TCBN-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|416-TKCO-POL,3ID-135-CMT|10-TCBN-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|418-TKCO-POL,3ID-135-CMT|180-TCBN-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|5-20-INFBN,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|512-QMCO-WTRSPLY,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|52-INF-CCO,3ID-135-CMT|3-BDE-2ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|553-CSB-HHD,3ID-135-CMT|24-SPTGP-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|571-MEDDET-AMBL,3ID-135-CMT|21-MED-CSHOSP,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|602-MAINTCO,3ID-135-CMT|553-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|603-DASB,3ID-135-CMT|3-AVNBDE-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|61-ASMEDBN-MEDCO,3ID-135-CMT|21-MED-CSHOSP,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|632-MAINTCO,3ID-135-CMT|24-CSB-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|703-MSB,3ID-135-CMT|3-DISCOM-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|89-TKCO-CGO,3ID-135-CMT|10-TCBN-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|92-ENGBN-CBTHVY,3ID-135-CMT|24-SPTGP-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|96-TCCO-HET,3ID-135-CMT|180-TCBN-HHD,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|CENTCOM-HHC,3ID-135-CMT|NCA,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|DIVARTY-3ID-HHB,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|DLAHQ,3ID-135-CMT|NCA,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|ENGBDE-3ID-HHD,3ID-135-CMT|3ID-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|IOC,3ID-135-CMT|NCA,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|JTF-HHC,3ID-135-CMT|CENTCOM-HHC,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|NCA,3ID-135-CMT|,1-Jan-00,, 
3ID-135-CMT,Subordinate,3ID-135-CMT|TRANSCOM,3ID-135-CMT|NCA,1-Jan-00,, 
3ID-135-CMT,FuelSupplyProvider,3ID-135-CMT|10-TCBN-HHC,3ID-135-CMT|110-QMCO-POLSPLY,1-Jan-00,, 
