OPLAN_ID,ORG_ID,COMPONENT_ID,START_CDAY,ATTRIBUTE_NAME,END_CDAY,ATTRIBUTE_VALUE
093FF,1-1-CAVSQDN,1-1-CAVSQDN,0,OPTEMPO,10,Low
093FF,1-1-CAVSQDN,1-1-CAVSQDN,10,OPTEMPO,75,Medium
093FF,1-1-CAVSQDN,1-1-CAVSQDN,75,OPTEMPO,100,High
093FF,1-1-CAVSQDN,1-1-CAVSQDN,100,OPTEMPO,165,Low
093FF,1-1-CAVSQDN,1-1-CAVSQDN,0,LOCATION,10,VIRANSEHIR
093FF,1-1-CAVSQDN,1-1-CAVSQDN,10,LOCATION,165,VIRANSEHIR
093FF,1-1-CAVSQDN,1-1-CAVSQDN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-1-CAVSQDN,1-1-CAVSQDN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-1-CAVSQDN,1-1-CAVSQDN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-1-CAVSQDN,1-1-CAVSQDN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-13-ARBN,1-13-ARBN,0,LOCATION,14,RUINS
093FF,1-13-ARBN,1-13-ARBN,14,LOCATION,165,RUINS
093FF,1-13-ARBN,1-13-ARBN,0,ACTIVITY_TYPE,14,Deployment
093FF,1-13-ARBN,1-13-ARBN,14,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-13-ARBN,1-13-ARBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-13-ARBN,1-13-ARBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-13-ARBN,1-13-ARBN,0,OPTEMPO,14,Low
093FF,1-13-ARBN,1-13-ARBN,14,OPTEMPO,75,Medium
093FF,1-13-ARBN,1-13-ARBN,75,OPTEMPO,100,High
093FF,1-13-ARBN,1-13-ARBN,100,OPTEMPO,165,Low
093FF,1-27-FABN,1-27-FABN,0,LOCATION,60,SANLIURFA
093FF,1-27-FABN,1-27-FABN,60,LOCATION,165,SANLIURFA
093FF,1-27-FABN,1-27-FABN,0,ACTIVITY_TYPE,60,Deployment
093FF,1-27-FABN,1-27-FABN,60,ACTIVITY_TYPE,75,Employment-Defensive
